Comentario,Sentimento
"Superou as expectativas, atendimento excepcional",1
"Superou as expectativas, atendimento excepcional",0
"Excelente qualidade, atendimento excepcional",1
"Atendimento horrível, não recomendo",0
"Entrega rápida, excelente qualidade",0
"Experiência ruim, decepcionado com a compra",0
"Experiência incrível, superou as expectativas",1
"Estou insatisfeito, estou insatisfeito",0
"Entrega rápida, melhor compra que fiz",0
"Adorei o produto, superou as expectativas",0
"Estou muito satisfeito, serviço maravilhoso",0
"Serviço péssimo, estou insatisfeito",1
"Adorei o produto, recomendo a todos",1
"Estou muito satisfeito, estou muito satisfeito",1
"Pior compra que fiz, decepcionado com a compra",0
"Estou muito satisfeito, melhor compra que fiz",1
"Estou insatisfeito, não recomendo",1
"Experiência incrível, melhor compra que fiz",1
"Serviço péssimo, entrega demorada",1
"Estou insatisfeito, serviço péssimo",1
"Péssima qualidade, estou insatisfeito",1
"Pior compra que fiz, experiência ruim",0
"Atendimento horrível, estou insatisfeito",0
"Superou as expectativas, melhor compra que fiz",1
"Recomendo a todos, estou muito satisfeito",1
"Estou muito satisfeito, atendimento excepcional",1
"Pior compra que fiz, não gostei do produto",0
"Não recomendo, decepcionado com a compra",0
"Não gostei do produto, não gostei do produto",0
"Decepcionado com a compra, não gostei do produto",0
"Decepcionado com a compra, experiência ruim",1
